name,quantity,color
Beast Within,1,4
Rootbound Crag,1,4
Hinterland Harbor,1,4
Etherium-Horn Sorcerer,1,4
"Xenagos, God of Revels",1,4
Steam Vents,1,4
Mind’s Dilation,1,4
Temporal Mastery,1,4
Temple of Epiphany,1,4
Selvala’s Stampede,1,4
Cultivate,1,4
Wooded Foothills,1,4
Bane of Progress,1,4
Cinder Glade,1,4
The Immortal Sun,1,4
Terramorphic Expanse,1,4
Mystic Confluence,1,4
Cyclonic Rift,1,4
Farseek,1,4
Spell Swindle,1,4
Oracle of Mul Daya,1,4
Temple of Mystery,1,4
"Rashmi, Eternities Crafter",1,4
Tropical Island,1,4
Blasphemous Act,1,4
Bloodbraid Elf,1,4
Balefire Dragon,1,4
Eternal Witness,1,4
Taiga,1,4
Pathbreaker Ibex,1,4
Skyshroud Claim,1,4
Evolving Wilds,1,4
Sheltered Thicket,1,4
Sol Ring,1,4
Inferno Titan,1,4
Ranger’s Path,1,4
Solemn Simulacrum,1,4
Zendikar Resurgent,1,4
Gilded Lotus,1,4
Glen Elendra Archmage,1,4
Kodama’s Reach,1,4
Kessig Wolf Run,1,4
Misty Rainforest,1,4
Dragonlord Atarka,1,4
Sunbird’s Invocation,1,4
Crystal Shard,1,4
Thran Dynamo,1,4
Bloodstained Mire,1,4
Palinchron,1,4
Consecrated Sphinx,1,4
Time Warp,1,4
Greenwarden of Murasa,1,4
Rampant Growth,1,4
Sensei’s Divining Top,1,4
Temple of Abandon,1,4
Temporal Manipulation,1,4
Acidic Slime,1,4
Walk the Aeons,1,4
Food Chain,1,4
Explosive Vegetation,1,4
Scroll Rack,1,4
Part the Waterveil,1,4
Sphinx of Uthuun,1,4
"Kiki-Jiki, Mirror Breaker",1,4
Hellkite Tyrant,1,4
Prime Speaker Zegana,1,4
Sulfur Falls,1,4
Deadeye Navigator,1,4
Reliquary Tower,1,4
Duplicant,1,4
Arid Mesa,1,4
Frontier Bivouac,1,4
Avenger of Zendikar,1,4
Arcanis the Omnipotent,1,4
Command Tower,1,4
Mana Vault,1,4
Breeding Pool,1,4
"Ayli, Eternal Pilgrim",1,5
"Elesh Norn, Grand Cenobite",1,5
Sol Ring,1,5
Command Tower,1,5
Aetherflux Reservoir,1,5
Butcher of Malakir,1,5
Tainted Field,1,5
Shambling Vent,1,5
Commander’s Sphere,1,5
Darksteel Ingot,1,5
Underworld Connections,1,5
Gilded Lotus,1,5
Orzhov Signet,1,5
Corpse Connoisseur,1,5
Nezumi Graverobber,1,5
Gray Merchant of Asphodel,1,5
Pristine Talisman,1,5
Anguished Unmaking,1,5
"Sidisi, Undead Vizier",1,5
Ashnod’s Altar,1,5
Grim Haruspex,1,5
Concealed Courtyard,1,5
Sensei’s Divining Top,1,5
Blood Artist,1,5
Skullclamp,1,5
Mind Stone,1,5
Reassembling Skeleton,1,5
Demon of Dark Schemes,1,5
Karmic Guide,1,5
Noxious Gearhulk,1,5
"Kokusho, the Evening Star",1,5
Sanguine Bond,1,5
Puppeteer Clique,1,5
Mortify,1,5
Fumigate,1,5
Zulaport Cutthroat,1,5
Vizkopa Guildmage,1,5
"Gonti, Lord of Luxury",1,5
Oblivion Ring,1,5
Consuming Vapors,1,5
Marsh Flats,1,5
Solemn Simulacrum,1,5
Reveillark,1,5
Lightning Greaves,1,5
Grave Titan,1,5
Staff of Nin,1,5
Merciless Eviction,1,5
Soul Warden,1,5
Mind’s Eye,1,5
Utter End,1,5
Wretched Confluence,1,5
Felidar Sovereign,1,5
Temple of Silence,1,5
Viscera Seer,1,5
Godless Shrine,1,5
Hour of Revelation,1,5
Sun Titan,1,5
Fatal Push,1,5
Mimic Vat,1,5
Exquisite Blood,1,5
Hero’s Downfall,1,5
Windbrisk Heights,1,5
Unburial Rites,1,5
Ob Nixilis Reignited,1,5
"Kambal, Consul of Allocation",1,5
Caves of Koilos,1,5
Cast Out,1,5
Swords to Plowshares,1,5
Ashen Rider,1,5
"Saheeli, The Gifted",1,6
Trophy Mage,1,6
Tezzeret the Seeker,1,6
Ionize,1,6
Command Tower,1,6
"Venser, Shaper Savant",1,6
Blinkmoth Urn,1,6
Expansion // Explosion,1,6
Vessel of Endless Rest,1,6
Whipflare,1,6
Reverse Engineer,1,6
Mindslaver,1,6
Scalding Tarn,1,6
Field of Ruin,1,6
Seat of the Synod,1,6
Spell Swindle,1,6
Chromatic Lantern,1,6
Magmaquake,1,6
Vandalblast,1,6
Echo Storm,1,6
Thaumatic Compass,1,6
Great Furnace,1,6
Counterspell,1,6
Myriad Landscape,1,6
Hedron Archive,1,6
Steam Vents,1,6
Chaos Warp,1,6
Prototype Portal,1,6
Temple Bell,1,6
Planar Bridge,1,6
Saheeli’s Directive,1,6
Sol Ring,1,6
Mirrorworks,1,6
Oracle’s Vault,1,6
Fabricate,1,6
Mystic Remora,1,6
Expedition Map,1,6
Retrofitter Foundry,1,6
Mechanized Production,1,6
Treasure Mage,1,6
Duplicant,1,6
Basalt Monolith,1,6
Temple of the False God,1,6
Thirst for Knowledge,1,6
Izzet Signet,1,6
Faithless Looting,1,6
Unwinding Clock,1,6
Thran Dynamo,1,6
Geier Reach Sanitarium,1,6
Combustible Gearhulk,1,6
Whir of Invention,1,6
Trash for Treasure,1,6
Jace Beleren,1,6
Saheeli’s Artistry,1,6
Fact or Fiction,1,6
Hellkite Tyrant,1,6
Thought Vessel,1,6
Skullclamp,1,6
Inventors’ Fair,1,6
Cyclonic Rift,1,6
Gilded Lotus,1,6
Burnished Hart,1,6
Journeyer’s Kite,1,6
"Brudiclad, Telchor Engineeer",1,6
Mind Stone,1,6
Nevinyrral’s Disk,1,6
Tectonic Edge,1,6
Darksteeel Forge,1,6
Seat of the Synod,1,6
Voltaic Key,1,6
Rings of Brighthearth,1,6
Commander’s Sphere,1,6
Solemn Simulacrum,1,6
Trinket Mage,1,6
Evolving Wilds,1,6
Temple of Epiphany,1,6
Saheeli Rai,1,6
Academy Ruins,1,6
Worn Powerstone,1,6
"Baral, Chief of Compliance",4,7
Goblin Electromancer,4,7
Remand,2,7
Sleight of Hand,4,7
Pyretic Ritual,2,7
Desperate Ritual,4,7
Noxious Revival,1,7
Past in Flames,2,7
Gifts Ungiven,4,7
Repeal,1,7
Spirebluff Canal,4,7
Empty the Warrens,3,7
Echoing Truth,1,7
Shattering Spree,2,7
Pieces of the Puzzle,2,7
"Anafenza, Kin-Tree Spirit",1,1
Apostle’s Blessing,3,1
Aven Mindcensor,2,1
Blessed Alliance,4,1
"Brimaz, King of Oreskos",1,1
Burrenton Forge-Tender,1,1
Cast Out,1,1
Cataclysmic Gearhulk,1,1
Champion of the Parish,4,1
Dusk // Dawn,2,1
"Elspeth, Sun's Champion",1,1
Felidar Guardian,4,1
Fiend Hunter,1,1
Gideon Jura,1,1
Gideon of the Trials,2,1
"Kataki, War's Wage",2,1
Kor Firewalker,1,1
"Linvala, Keeper of Silence",1,1
Militia Bugler,1,1
Mirran Crusader,4,1
Remorseful Cleric,2,1
Rest in Peace,2,1
Secure the Wastes,1,1
"Shalai, Voice of Plenty",1,1
Sun Titan,1,1
"Thalia, Guardian of Thraben",4,1
"Thalia, Heretic Cathar",4,1
Thalia's Lieutenant,4,1
Annul,3,2
Artful Dodge,1,2
Augur of Bolas,4,2
Brainstorm,2,2
Ceremonious Rejection,1,2
Counterspell,4,2
Cryptic Command,1,2
Daze,2,2
Disallow,1,2
Dispel,6,2
Faerie Miscreant,4,2
Gitaxian Probe,4,2
Gush,3,2
Hydroblast,4,2
"Jace, Architect of Thought",3,2
Mana Leak,2,2
Mulldrifter,1,2
Negate,2,2
Ninja of the Deep Hours,4,2
Ponder,4,2
Preordain,4,2
Remand,1,2
Retreat to Coralhelm,2,2
Serum Visions,1,2
Snap,3,2
Snapcaster Mage,1,2
Spell Pierce,5,2
Spell Snare,1,2
Spellstutter Sprite,5,2
Spreading Seas,4,2
Stormbound Geist,3,2
Stubborn Denial,4,2
"Tamiyo, the Moon Sage",1,2
Unified Will,1,2
Vapor Snag,2,2
Collective Brutality,4,3
Death's Shadow,1,3
Dismember,3,3
Fatal Push,5,3
"Gonti, Lord of Luxury",1,3
Inquisition of Kozilek,1,3
Kitesail Freebooter,4,3
Noxious Gearhulk,1,3
Thoughtseize,2,3
Viscera Seer,1,3
Abrade,4,4
Ancient Grudge,3,4
Anger of the Gods,2,4
Blood Moon,4,4
"Chandra, Torch of Defiance",2,4
Glorybringer,2,4
"Kiki-Jiki, Mirror Breaker",1,4
Lightning Bolt,8,4
Temur Battle-Rage,3,4
Vandalblast,1,4
Acidic Slime,1,5
Ancient Stirrings,4,5
Beast Within,1,5
Birds of Paradise,1,5
Blossoming Defense,4,5
Chameleon Colossus,1,5
Courser of Kruphix,4,5
Duskwatch Recruiter,1,5
Eldritch Evolution,4,5
Eternal Witness,1,5
Loaming Shaman,1,5
Lotus Cobra,3,5
Mutagenic Growth,3,5
Natural State,2,5
"Nissa, Vital Force",1,5
Oath of Nissa,4,5
Obstinate Baloth,2,5
Ramunap Excavator,2,5
Reclamation Sage,2,5
Rhonas the Indomitable,1,5
Scavenging Ooze,4,5
Spike Feeder,1,5
Tarmogoyf,1,5
Thragtusk,4,5
Thrashing Brontodon,2,5
"Thrun, the Last Troll",1,5
Tireless Tracker,2,5
Wayward Swordtooth,1,5
Coiling Oracle,4,6
Detention Sphere,2,6
Dromoka’s Command,1,6
Fracturing Gust,1,6
Geist of Saint Traft,1,6
Izzet Staticaster,2,6
"Kambal, Consul of Allocation",1,6
"Keranos, God of Storms",1,6
Knight of Autumn,1,6
Knight of the Reliquary,4,6
Loxodon Smiter,1,6
Maelstrom Pulse,1,6
Mantis Rider,2,6
Meddling Mage,4,6
"Nissa, Steward of Elements",1,6
Orzhov Pontiff,1,6
"Pharika, God of Affliction",1,6
Qasali Pridemage,1,6
Reflector Mage,4,6
Renegade Rallier,4,6
Saheeli Rai,3,6
"Sigarda, Heron's Grace",1,6
"Sigarda, Host of Herons",1,6
Sin Collector,1,6
Sphinx's Revelation,1,6
Steel of the Godhead,1,6
Supreme Verdict,2,6
"Tamiyo, Field Researcher",2,6
Voice of Resurgence,4,6
Whirler Virtuoso,1,6
Zealous Persecution,1,6
Aether Vial,1,7
Bonesplitter,2,7
Drowner of Hope,4,7
Eldrazi Displacer,4,7
Eldrazi Skyspawner,4,7
Endbringer,1,7
Flayer Husk,1,7
Gilded Lotus,1,7
Grafdigger's Cage,3,7
"Kozilek, the Great Distortion",1,7
Matter Reshaper,4,7
Panharmonicon,4,7
Pithing Needle,3,7
Reality Smasher,4,7
Relic of Progenitus,4,7
"Skysovereign, Consul Flagship",1,7
Smuggler's Copter,1,7
Sol Ring,1,7
Solemn Simulacrum,1,7
Spellskite,2,7
Spire Golem,4,7
Talisman of Progress,2,7
Thought-knot Seer,4,7
Void Grafter,4,7
Walking Ballista,2,7
World Breaker,2,7
