name,quantity,color,price,total
Relic of Progenitus,2,7,3.74,7.48
Remand,1,2,6.4,6.4
Remorseful Cleric,2,1,1.71,3.42
Renegade Rallier,4,6,0.13,0.52
Rest in Peace,2,1,5.23,10.46
Retreat to Coralhelm,2,2,0.15,0.3
Rhonas the Indomitable,1,5,6.99,6.99
Saheeli Rai,3,6,3.99,11.97
Scavenging Ooze,4,5,3.44,13.76
Secure the Wastes,1,1,3.76,3.76
Serum Visions,1,2,2.94,2.94
"Shalai, Voice of Plenty",1,1,5.07,5.07
"Sigarda, Heron's Grace",1,6,0.62,0.62
"Sigarda, Host of Herons",1,6,16.47,16.47
Sin Collector,1,6,0.13,0.13
"Skysovereign, Consul Flagship",1,7,0.43,0.43
Smuggler's Copter,1,7,1.99,1.99
Snapcaster Mage,1,2,71.24,71.24
Spell Pierce,5,2,0.13,0.65
Spell Snare,1,2,0.69,0.69
Spellskite,2,7,7.74,15.48
Sphinx's Revelation,1,6,3.31,3.31
Spike Feeder,1,5,0,0.0
Spreading Seas,4,2,1.75,7.0
Steel of the Godhead,1,6,2.4,2.4
Stubborn Denial,3,2,0.69,2.07
Sun Titan,1,1,0.42,0.42
Supreme Verdict,2,6,3.89,7.78
Talisman of Progress,2,7,0,0.0
"Tamiyo, Field Researcher",2,6,6.58,13.16
Tarmogoyf,1,5,65.74,65.74
Temur Battle-Rage,3,4,0.24,0.72
"Thalia, Guardian of Thraben",4,1,9.15,36.6
"Thalia, Heretic Cathar",4,1,1.72,6.88
Thalia's Lieutenant,4,1,2.24,8.96
Thought-knot Seer,4,7,5.54,22.16
Thoughtseize,2,3,14.22,28.44
Thragtusk,3,5,1.97,5.91
Thrashing Brontodon,2,5,1.64,3.28
"Thrun, the Last Troll",1,5,14.16,14.16
Tireless Tracker,2,5,8.45,16.9
Unified Will,1,2,1.49,1.49
Vandalblast,1,4,3.65,3.65
Vapor Snag,2,2,0.63,1.26
Viscera Seer,1,3,1.75,1.75
Voice of Resurgence,4,6,9.95,39.8
Void Grafter,4,7,0.06,0.24
Walking Ballista,2,7,15.12,30.24
Whirler Virtuoso,1,6,0.07,0.07
World Breaker,2,7,2.98,5.96
Zealous Persecution,1,6,0.15,0.15
,,,,1204.0700000000008
