"Thought Vessel","c15","1","7.45"
"Skullclamp","c15","1","2.46"
"Skullclamp","c16","1","2.76"
"Cyclonic Rift","rtr","1","14.67"
"Burnished Hart","ths","1","1.73"
"Journeyer's Kite","ddi","1","0.69"
"Nevinyrral's Disk","c16","1","1.39"
"Mind Stone","c18","1","0.47"
"Mind Stone","c14","1","0.4"
"Brudiclad, Telchor Engineer","c18","1","1.37"
"Darksteel Forge","hop","1","12.38"
"Voltaic Key","m11","1","1.1"
"Rings of Brighthearth","lrw","1","34.94"
"Commander's Sphere","c18","1","1.23"
"Commander's Sphere","c16","1","1.01"
"Trinket Mage","c16","1","0.29"
"Worn Powerstone","c18","1","0.66"
"Blinkmoth Urn","c18","1","0.18"
"Expansion // Explosion","grn","1","1.07"
"Vessel of Endless Rest","c18","1","0.1"
"Whipflare","c16","1","0.23"
"Reverse Engineer","f17","1","0.22"
"Mindslaver","som","1","4.41"
"Chromatic Lantern","rtr","1","3.23"
"Magmaquake","c18","1","0.1"
"Echo Storm","c18","1","0.19"
"Thaumatic Compass // Spires of Orazca","xln","1","2.14"
"Hedron Archive","c18","1","0.73"
"Chaos Warp","c18","1","2.16"
"Prototype Portal","c18","1","0.16"
"Temple Bell","c16","1","1.05"
"Planar Bridge","aer","1","3.13"
"Saheeli's Directive","c18","1","0.81"
"Oracle's Vault","akh","1","0.16"
"Fabricate","m10","1","3.61"
"Mystic Remora","ice","1","2.54"
"Expedition Map","zen","1","2.98"
"Retrofitter Foundry","c18","1","1.26"
"Mechanized Production","aer","1","3.46"
"Treasure Mage","mbs","1","0.22"
"Basalt Monolith","3ed","1","2.11"
"Thirst for Knowledge","c18","1","0.14"
"Mirrorworks","c18","1","0.31"
"Izzet Signet","c18","1","0.73"
"Trophy Mage","paer","1","0.56"
"Tezzeret the Seeker","mm2","1","13.02"
"Ionize","grn","1","1.8"
"Saheeli, the Gifted","c18","1","3.01"
"Ayli, Eternal Pilgrim","ogw","1","0.55"
"Elesh Norn, Grand Cenobite","nph","1","14.73"
"Aetherflux Reservoir","kld","1","2.96"
"Butcher of Malakir","c15","1","0.39"
"Darksteel Ingot","dst","1","0.64"
"Underworld Connections","rtr","1","0.31"
"Orzhov Signet","mm3","1","0.32"
"Corpse Connoisseur","mm3","1","0.12"
"Nezumi Graverobber // Nighteyes the Desecrator","chk","1","0.51"
"Gray Merchant of Asphodel","ths","1","0.38"
"Pristine Talisman","ima","1","0.13"
"Anguished Unmaking","soi","1","3.87"
"Sidisi, Undead Vizier","dtk","1","7.13"
"Ashnod's Altar","ema","1","5.17"
"Grim Haruspex","ktk","1","0.51"
"Blood Artist","avr","1","3.5"
"Reassembling Skeleton","m11","1","0.12"
"Demon of Dark Schemes","kld","1","0.55"
"Karmic Guide","ulg","1","3.09"
"Kokusho, the Evening Star","ima","1","5.13"
"Sanguine Bond","ima","1","0.72"
"Puppeteer Clique","mm2","1","0.55"
"Mortify","gpt","1","0.59"
"Fumigate","kld","1","0.5"
"Zulaport Cutthroat","bfz","1","0.32"
"Vizkopa Guildmage","ima","1","0.17"
"Oblivion Ring","ala","1","0.27"
"Consuming Vapors","roe","1","0.25"
"Reveillark","c16","1","1.71"
"Lightning Greaves","cmd","1","5.13"
"Grave Titan","m11","1","11.43"
"Staff of Nin","cm2","1","0.74"
"Merciless Eviction","gtc","1","2.96"
"Soul Warden","m10","1","0.42"
"Mind's Eye","bbd","1","2.06"
"Utter End","c16","1","1.04"
"Wretched Confluence","c15","1","0.91"
"Felidar Sovereign","bfz","1","0.72"
"Hour of Revelation","hou","1","0.5"
"Sun Titan","c15","1","3.19"
"Mimic Vat","c18","1","1.43"
"Exquisite Blood","avr","1","16.62"
"Hero's Downfall","ths","1","2.43"
"Unburial Rites","isd","1","0.22"
"Ob Nixilis Reignited","bfz","1","2.02"
"Swords to Plowshares","ima","1","1.13"
"Ashen Rider","ths","1","1.45"
"Magus of the Moon","ima","1","4.06"
"Crucible of Worlds","m19","1","12.49"
